first,second,third
panpour,simipour,none
pansear,simisear,none
pansage,simisage,none
purrloin,liepard,none
lillipup,herdier,stoutland
patrat,watchog,none
oshawott,dewott,samurott
tepig,pignite,emboar
snivy,servine,serperior
snorunt,froslass,none
duskull,dusclops,dusknoir
nosepass,probopass,none
ralts,kirlia,gallade
porygon,porygon2,porygon-z
swinub,piloswine,mamoswine
gligar,gliscor,none
yanma,yanmega,none
togepi,togetic,togekiss
magby,magmar,magmortar
elekid,electabuzz,electivire
tangela,tangrowth,none
rhyhorn,rhydon,rhyperior
lickitung,lickilicky,none
magnemite,magneton,magnezone
sneasel,weavile,none
snover,abomasnow,none
finneon,lumineon,none
croagunk,toxicroak,none
skorupi,drapion,none
hippopotas,hippowdon,none
riolu,lucario,none
gible,gabite,garchomp
bronzor,bronzong,none
stunky,skuntank,none
glameow,purugly,none
murkrow,honchkrow,none
misdreavus,mismagius,none
buneary,lopunny,none
drifloon,drifblim,none
aipom,ambipom,none
shellos,gastrodon,none
cherubi,cherrim,none
buizel,floatzel,none
combee,vespiquen,none
burmy,mothim,none
burmy,wormadam,none
shieldon,bastiodon,none
cranidos,rampardos,none
budew,roselia,roserade
shinx,luxio,luxray
kricketot,kricketune,none
bidoof,bibarel,none
starly,staravia,staraptor
piplup,prinplup,empoleon
chimchar,monferno,infernape
turtwig,grotle,torterra
beldum,metang,metagross
bagon,shelgon,salamence
clamperl,gorebyss,none
clamperl,huntail,none
spheal,sealeo,walrein
snorunt,glalie,none
chingling,chimecho,none
shuppet,banette,none
feebas,milotic,none
anorith,armaldo,none
lileep,cradily,none
baltoy,claydol,none
corphish,crawdaunt,none
barboach,whiscash,none
swablu,altaria,none
cacnea,cacturne,none
trapinch,vibrava,flygon
spoink,grumpig,none
numel,camerupt,none
wailmer,wailord,none
carvanha,sharpedo,none
gulpin,swalot,none
electrike,manectric,none
meditite,medicham,none
aron,lairon,aggron
skitty,delcatty,none
makuhita,hariyama,none
whismur,loudred,exploud
nincada,shedinja,none
nincada,ninjask,none
slakoth,vigoroth,slaking
shroomish,breloom,none
surskit,masquerain,none
ralts,kirlia,gardevoir
wingull,pelipper,none
taillow,swellow,none
seedot,nuzleaf,shiftry
lotad,lombre,ludicolo
wurmple,cascoon,dustox
wurmple,silcoon,beautifly
poochyena,mightyena,none
mudkip,marshtomp,swampert
torchic,combusken,blaziken
treecko,grovyle,sceptile
larvitar,pupitar,tyranitar
happiny,chansey,blissey
tyrogue,hitmontop,none
phanpy,donphan,none
horsea,seadra,kingdra
houndour,houndoom,none
mantyke,mantine,none
remoraid,octillery,none
slugma,magcargo,none
scyther,scizor,none
snubbull,granbull,none
onix,steelix,none
pineco,forretress,none
wynaut,wobbuffet,none
slowpoke,slowking,none
eevee,umbreon,none
eevee,espeon,none
eevee,flareon,none
eevee,jolteon,none
eevee,vaporeon,none
eevee,glaceon,none
eevee,leafeon,none
eevee,sylveon,none
wooper,quagsire,none
sunkern,sunflora,none
hoppip,skiploom,jumpluff
poliwag,poliwhirl,politoed
bonsly,sudowoodo,none
azurill,marill,azumarill
oddish,gloom,bellossom
mareep,flaaffy,ampharos
natu,xatu,none
chinchou,lanturn,none
zubat,golbat,crobat
spinarak,ariados,none
ledyba,ledian,none
hoothoot,noctowl,none
sentret,furret,none
totodile,croconaw,feraligatr
cyndaquil,quilava,typhlosion
chikorita,bayleef,meganium
dratini,dragonair,dragonite
munchlax,snorlax,none
kabuto,kabutops,none
omanyte,omastar,none
magikarp,gyarados,none
smoochum,jynx,none
staryu,starmie,none
goldeen,seaking,none
koffing,weezing,none
tyrogue,hitmonchan,none
tyrogue,hitmonlee,none
cubone,marowak,none
exeggcute,exeggutor,none
voltorb,electrode,none
krabby,kingler,none
drowzee,hypno,none
gastly,haunter,gengar
shellder,cloyster,none
grimer,muk,none
seel,dewgong,none
doduo,dodrio,none
slowpoke,slowbro,none
ponyta,rapidash,none
geodude,graveler,golem
tentacool,tentacruel,none
bellsprout,weepinbell,victreebel
machop,machoke,machamp
abra,kadabra,alakazam
poliwag,poliwhirl,poliwrath
growlithe,arcanine,none
psyduck,golduck,none
meowth,persian,none
diglett,dugtrio,none
venonat,venomoth,none
paras,parasect,none
oddish,gloom,vileplume
igglybuff,jigglypuff,wigglytuff
vulpix,ninetales,none
cleffa,clefairy,clefable
nidoran-m,nidorino,nidoking
nidoran-f,nidorina,nidoqueen
sandshrew,sandslash,none
pichu,pikachu,raichu
ekans,arbok,none
spearow,fearow,none
rattata,raticate,none
pidgey,pidgeotto,pidgeot
weedle,kakuna,beedrill
caterpie,metapod,butterfree
squirtle,wartortle,blastoise
charmander,charmeleon,charizard
bulbasaur,ivysaur,venusaur
