pokemon_id,type_name
200,ghost
201,psychic
202,psychic
203,normal
203,psychic
204,bug
205,bug
205,steel
206,normal
207,ground
207,flying
208,steel
208,ground
209,fairy
210,fairy
211,water
211,poison
212,bug
212,steel
213,bug
213,rock
214,bug
214,fighting
215,dark
215,ice
216,normal
217,normal
218,fire
219,fire
219,rock
220,ice
220,ground
221,ice
221,ground
222,water
222,rock
223,water
224,water
225,ice
225,flying
226,water
226,flying
227,steel
227,flying
228,dark
228,fire
229,dark
229,fire
230,water
230,dragon
231,ground
232,ground
233,normal
234,normal
235,normal
236,fighting
237,fighting
238,ice
238,psychic
239,electric
240,fire
241,normal
242,normal
243,electric
244,fire
245,water
246,rock
246,ground
247,rock
247,ground
248,rock
248,dark
249,psychic
249,flying
250,fire
250,flying
251,psychic
251,grass
252,grass
253,grass
254,grass
255,fire
256,fire
256,fighting
257,fire
257,fighting
258,water
259,water
259,ground
260,water
260,ground
261,dark
262,dark
263,normal
264,normal
265,bug
266,bug
267,bug
267,flying
268,bug
269,bug
269,poison
270,water
270,grass
271,water
271,grass
272,water
272,grass
273,grass
274,grass
274,dark
275,grass
275,dark
276,normal
276,flying
277,normal
277,flying
278,water
278,flying
279,water
279,flying
280,psychic
280,fairy
281,psychic
281,fairy
282,psychic
282,fairy
283,bug
283,water
284,bug
284,flying
285,grass
286,grass
286,fighting
287,normal
288,normal
289,normal
290,bug
290,ground
291,bug
291,flying
292,bug
292,ghost
293,normal
294,normal
295,normal
296,fighting
297,fighting
298,normal
298,fairy
299,rock
300,normal
301,normal
302,dark
302,ghost
303,steel
303,fairy
304,steel
304,rock
305,steel
305,rock
306,steel
306,rock
307,fighting
307,psychic
308,fighting
308,psychic
309,electric
310,electric
311,electric
312,electric
313,bug
314,bug
315,grass
315,poison
316,poison
317,poison
318,water
318,dark
319,water
319,dark
320,water
321,water
322,fire
322,ground
323,fire
323,ground
324,fire
325,psychic
326,psychic
327,normal
328,ground
329,ground
329,dragon
330,ground
330,dragon
331,grass
332,grass
332,dark
333,normal
333,flying
334,dragon
334,flying
335,normal
336,poison
337,rock
337,psychic
338,rock
338,psychic
339,water
339,ground
340,water
340,ground
341,water
342,water
342,dark
343,ground
343,psychic
344,ground
344,psychic
345,rock
345,grass
346,rock
346,grass
347,rock
347,bug
348,rock
348,bug
349,water
350,water
351,normal
352,normal
353,ghost
354,ghost
355,ghost
356,ghost
357,grass
357,flying
358,psychic
359,dark
360,psychic
361,ice
362,ice
363,ice
363,water
364,ice
364,water
365,ice
365,water
366,water
367,water
368,water
369,water
369,rock
370,water
371,dragon
372,dragon
373,dragon
373,flying
374,steel
374,psychic
375,steel
375,psychic
376,steel
376,psychic
377,rock
378,ice
379,steel
380,dragon
380,psychic
381,dragon
381,psychic
382,water
383,ground
384,dragon
384,flying
385,steel
385,psychic
386,psychic
387,grass
388,grass
389,grass
389,ground
390,fire
391,fire
391,fighting
392,fire
392,fighting
393,water
394,water
395,water
395,steel
396,normal
396,flying
397,normal
397,flying
398,normal
398,flying
399,normal
400,normal
400,water
401,bug
402,bug
403,electric
404,electric
405,electric
406,grass
406,poison
407,grass
407,poison
408,rock
409,rock
410,rock
410,steel
411,rock
411,steel
412,bug
413,bug
413,grass
414,bug
414,flying
415,bug
415,flying
416,bug
416,flying
417,electric
418,water
419,water
420,grass
421,grass
422,water
423,water
423,ground
424,normal
425,ghost
425,flying
426,ghost
426,flying
427,normal
428,normal
429,ghost
430,dark
430,flying
431,normal
432,normal
433,psychic
434,poison
434,dark
435,poison
435,dark
436,steel
436,psychic
437,steel
437,psychic
438,rock
439,psychic
439,fairy
440,normal
441,normal
441,flying
442,ghost
442,dark
443,dragon
443,ground
444,dragon
444,ground
445,dragon
445,ground
446,normal
447,fighting
448,fighting
448,steel
449,ground
450,ground
451,poison
451,bug
452,poison
452,dark
453,poison
453,fighting
454,poison
454,fighting
455,grass
456,water
457,water
458,water
458,flying
459,grass
459,ice
460,grass
460,ice
461,dark
461,ice
462,electric
462,steel
463,normal
464,ground
464,rock
465,grass
466,electric
467,fire
468,fairy
468,flying
469,bug
469,flying
470,grass
471,ice
472,ground
472,flying
473,ice
473,ground
474,normal
475,psychic
475,fighting
476,rock
476,steel
477,ghost
478,ice
478,ghost
479,electric
479,ghost
480,psychic
481,psychic
482,psychic
483,steel
483,dragon
484,water
484,dragon
485,fire
485,steel
486,normal
487,ghost
487,dragon
488,psychic
489,water
490,water
491,dark
492,grass
493,normal
494,psychic
494,fire
495,grass
496,grass
497,grass
498,fire
499,fire
499,fighting
500,fire
500,fighting
501,water
502,water
503,water
504,normal
505,normal
506,normal
507,normal
508,normal
509,dark
510,dark
511,grass
512,grass
513,fire
514,fire
515,water
516,water
517,psychic
518,psychic
519,normal
519,flying
520,normal
520,flying
521,normal
521,flying
522,electric
523,electric
524,rock
525,rock
526,rock
527,psychic
527,flying
528,psychic
528,flying
529,ground
530,ground
530,steel
531,normal
532,fighting
533,fighting
534,fighting
535,water
536,water
536,ground
537,water
537,ground
538,fighting
539,fighting
540,bug
540,grass
541,bug
541,grass
542,bug
542,grass
543,bug
543,poison
544,bug
544,poison
545,bug
545,poison
546,grass
546,fairy
547,grass
547,fairy
548,grass
549,grass
550,water
551,ground
551,dark
552,ground
552,dark
553,ground
553,dark
554,fire
555,fire
556,grass
557,bug
557,rock
558,bug
558,rock
559,dark
559,fighting
560,dark
560,fighting
561,psychic
561,flying
562,ghost
563,ghost
564,water
564,rock
565,water
565,rock
566,rock
566,flying
567,rock
567,flying
568,poison
569,poison
570,dark
571,dark
572,normal
573,normal
574,psychic
575,psychic
576,psychic
577,psychic
578,psychic
579,psychic
580,water
580,flying
581,water
581,flying
582,ice
583,ice
584,ice
585,normal
585,grass
586,normal
586,grass
587,electric
587,flying
588,bug
589,bug
589,steel
590,grass
590,poison
591,grass
591,poison
592,water
592,ghost
593,water
593,ghost
594,water
595,bug
595,electric
596,bug
596,electric
597,grass
597,steel
598,grass
598,steel
599,steel
600,steel
601,steel
602,electric
603,electric
604,electric
605,psychic
606,psychic
607,ghost
607,fire
608,ghost
608,fire
609,ghost
609,fire
610,dragon
611,dragon
612,dragon
613,ice
614,ice
615,ice
616,bug
617,bug
618,ground
618,electric
619,fighting
620,fighting
621,dragon
622,ground
622,ghost
623,ground
623,ghost
624,dark
624,steel
625,dark
625,steel
626,normal
627,normal
627,flying
628,normal
628,flying
629,dark
629,flying
630,dark
630,flying
631,fire
632,bug
632,steel
633,dark
633,dragon
634,dark
634,dragon
635,dark
635,dragon
636,bug
636,fire
637,bug
637,fire
638,steel
638,fighting
639,rock
639,fighting
640,grass
640,fighting
641,flying
642,electric
642,flying
643,dragon
643,fire
644,dragon
644,electric
645,ground
645,flying
646,dragon
646,ice
647,water
647,fighting
648,normal
648,psychic
649,bug
649,steel
650,grass
651,grass
652,grass
652,fighting
653,fire
654,fire
655,fire
655,psychic
656,water
657,water
658,water
658,dark
659,normal
660,normal
660,ground
661,normal
661,flying
662,fire
662,flying
663,fire
663,flying
664,bug
665,bug
666,bug
666,flying
667,fire
667,normal
668,fire
668,normal
669,fairy
670,fairy
671,fairy
672,grass
673,grass
674,fighting
675,fighting
675,dark
676,normal
677,psychic
678,psychic
679,steel
679,ghost
680,steel
680,ghost
681,steel
681,ghost
682,fairy
683,fairy
684,fairy
685,fairy
686,dark
686,psychic
687,dark
687,psychic
688,rock
688,water
689,rock
689,water
690,poison
690,water
691,poison
691,dragon
692,water
693,water
694,electric
694,normal
695,electric
695,normal
696,rock
696,dragon
697,rock
697,dragon
698,rock
698,ice
699,rock
699,ice
700,fairy
701,fighting
701,flying
702,electric
702,fairy
703,rock
703,fairy
704,dragon
705,dragon
706,dragon
707,steel
707,fairy
708,ghost
708,grass
709,ghost
709,grass
710,ghost
710,grass
711,ghost
711,grass
712,ice
713,ice
714,flying
714,dragon
715,flying
715,dragon
716,fairy
717,dark
717,flying
718,dragon
718,ground
719,rock
719,fairy
720,psychic
720,ghost
721,fire
721,water
722,grass
722,flying
723,grass
723,flying
724,grass
724,ghost
725,fire
726,fire
727,fire
727,dark
728,water
729,water
730,water
730,fairy
731,normal
731,flying
732,normal
732,flying
733,normal
733,flying
734,normal
735,normal
736,bug
737,bug
737,electric
738,bug
738,electric
739,fighting
740,fighting
740,ice
741,fire
741,flying
742,bug
742,fairy
743,bug
743,fairy
744,rock
745,rock
746,water
747,poison
747,water
748,poison
748,water
749,ground
750,ground
751,water
751,bug
752,water
752,bug
753,grass
754,grass
755,grass
755,fairy
756,grass
756,fairy
757,poison
757,fire
758,poison
758,fire
759,normal
759,fighting
760,normal
760,fighting
761,grass
762,grass
763,grass
764,fairy
765,normal
765,psychic
766,fighting
767,bug
767,water
768,bug
768,water
769,ghost
769,ground
770,ghost
770,ground
771,water
772,normal
773,normal
774,rock
774,flying
775,normal
776,fire
776,dragon
777,electric
777,steel
778,ghost
778,fairy
779,water
779,psychic
780,normal
780,dragon
781,ghost
781,grass
782,dragon
783,dragon
783,fighting
784,dragon
784,fighting
785,electric
785,fairy
786,psychic
786,fairy
787,grass
787,fairy
788,water
788,fairy
789,psychic
790,psychic
791,psychic
791,steel
792,psychic
792,ghost
793,rock
793,poison
794,bug
794,fighting
795,bug
795,fighting
796,electric
797,steel
797,flying
798,grass
798,steel
799,dark
799,dragon
800,psychic
801,steel
801,fairy
802,fighting
802,ghost
803,poison
804,poison
804,dragon
805,rock
805,steel
806,fire
806,ghost
807,electric
808,steel
809,steel
810,grass
811,grass
812,grass
813,fire
814,fire
815,fire
816,water
817,water
818,water
819,normal
820,normal
821,flying
822,flying
823,flying
823,steel
824,bug
825,bug
825,psychic
826,bug
826,psychic
827,dark
828,dark
829,grass
830,grass
831,normal
832,normal
833,water
834,water
834,rock
835,electric
836,electric
837,rock
838,rock
838,fire
839,rock
839,fire
840,grass
840,dragon
841,grass
841,dragon
842,grass
842,dragon
843,ground
844,ground
845,flying
845,water
846,water
847,water
848,electric
848,poison
849,electric
849,poison
850,fire
850,bug
851,fire
851,bug
852,fighting
853,fighting
854,ghost
855,ghost
856,psychic
857,psychic
858,psychic
858,fairy
859,dark
859,fairy
860,dark
860,fairy
861,dark
861,fairy
862,dark
862,normal
863,steel
864,ghost
865,fighting
866,ice
866,psychic
867,ground
867,ghost
868,fairy
869,fairy
870,fighting
871,electric
872,ice
872,bug
873,ice
873,bug
874,rock
875,ice
876,psychic
876,normal
877,electric
877,dark
878,steel
879,steel
880,electric
880,dragon
881,electric
881,ice
882,water
882,dragon
883,water
883,ice
884,steel
884,dragon
885,dragon
885,ghost
886,dragon
886,ghost
887,dragon
887,ghost
888,fairy
889,fighting
890,poison
890,dragon
891,fighting
892,fighting
892,dark
893,dark
893,grass
894,electric
895,dragon
896,ice
897,ghost
898,psychic
898,grass
899,normal
899,psychic
900,bug
900,rock
901,ground
901,normal
902,water
902,ghost
903,fighting
903,poison
904,dark
904,poison
905,fairy
905,flying
906,grass
907,grass
908,grass
908,dark
909,fire
910,fire
911,fire
911,ghost
912,water
913,water
914,water
914,fighting
915,normal
916,normal
917,bug
918,bug
919,bug
920,bug
920,dark
921,electric
922,electric
922,fighting
923,electric
923,fighting
924,normal
925,normal
926,fairy
927,fairy
928,grass
928,normal
929,grass
929,normal
930,grass
930,normal
931,normal
931,flying
932,rock
933,rock
934,rock
935,fire
936,fire
936,psychic
937,fire
937,ghost
938,electric
939,electric
940,electric
940,flying
941,electric
941,flying
942,dark
943,dark
944,poison
944,normal
945,poison
945,normal
946,grass
946,ghost
947,grass
947,ghost
948,ground
948,grass
949,ground
949,grass
950,rock
951,grass
952,grass
952,fire
953,bug
954,bug
954,psychic
955,psychic
956,psychic
957,fairy
957,steel
958,fairy
958,steel
959,fairy
959,steel
960,water
961,water
962,flying
962,dark
963,water
964,water
965,steel
965,poison
966,steel
966,poison
967,dragon
967,normal
968,steel
969,rock
969,poison
970,rock
970,poison
971,ghost
972,ghost
973,flying
973,fighting
974,ice
975,ice
976,water
976,psychic
977,water
978,dragon
978,water
979,fighting
979,ghost
980,poison
980,ground
981,normal
981,psychic
982,normal
983,dark
983,steel
984,ground
984,fighting
985,fairy
985,psychic
986,grass
986,dark
987,ghost
987,fairy
988,bug
988,fighting
989,electric
989,ground
990,ground
990,steel
991,ice
991,water
992,fighting
992,electric
993,dark
993,flying
994,fire
994,poison
995,rock
995,electric
996,dragon
996,ice
997,dragon
997,ice
998,dragon
998,ice
999,ghost
1000,steel
1000,ghost
1001,dark
1001,grass
1002,dark
1002,ice
1003,dark
1003,ground
1004,dark
1004,fire
1005,dragon
1005,dark
1006,fairy
1006,fighting
1007,fighting
1007,dragon
1008,electric
1008,dragon
1009,water
1009,dragon
1010,grass
1010,psychic
1011,grass
1011,dragon
1012,grass
1012,ghost
1013,grass
1013,ghost
1014,poison
1014,fighting
1015,poison
1015,psychic
1016,poison
1016,fairy
1017,grass
1018,steel
1018,dragon
1019,grass
1019,dragon
1020,fire
1020,dragon
1021,electric
1021,dragon
1022,rock
1022,psychic
1023,steel
1023,psychic
1024,normal
1025,poison
1025,ghost
10001,psychic
10002,psychic
10003,psychic
10004,bug
10004,ground
10005,bug
10005,steel
10006,grass
10006,flying
10007,ghost
10007,dragon
10008,electric
10008,fire
10009,electric
10009,water
10010,electric
10010,ice
10011,electric
10011,flying
10012,electric
10012,grass
10013,fire
10014,water
10015,ice
10016,water
10017,fire
10017,psychic
10018,normal
10018,fighting
10019,flying
10020,electric
10020,flying
10021,ground
10021,flying
10022,dragon
10022,ice
10023,dragon
10023,ice
10024,water
10024,fighting
10025,psychic
10026,steel
10026,ghost
10027,ghost
10027,grass
10028,ghost
10028,grass
10029,ghost
10029,grass
10030,ghost
10030,grass
10031,ghost
10031,grass
10032,ghost
10032,grass
10033,grass
10033,poison
10034,fire
10034,dragon
10035,fire
10035,flying
10036,water
10037,psychic
10038,ghost
10038,poison
10039,normal
10040,bug
10040,flying
10041,water
10041,dark
10042,rock
10042,flying
10043,psychic
10043,fighting
10044,psychic
10045,electric
10045,dragon
10046,bug
10046,steel
10047,bug
10047,fighting
10048,dark
10048,fire
10049,rock
10049,dark
10050,fire
10050,fighting
10051,psychic
10051,fairy
10052,steel
10052,fairy
10053,steel
10054,fighting
10054,psychic
10055,electric
10056,ghost
10057,dark
10058,dragon
10058,ground
10059,fighting
10059,steel
10060,grass
10060,ice
10061,fairy
10062,dragon
10062,psychic
10063,dragon
10063,psychic
10064,water
10064,ground
10065,grass
10065,dragon
10066,dark
10066,ghost
10067,dragon
10067,fairy
10068,psychic
10068,fighting
10069,normal
10069,fairy
10070,water
10070,dark
10071,water
10071,psychic
10072,steel
10072,ground
10073,normal
10073,flying
10074,ice
10075,rock
10075,fairy
10076,steel
10076,psychic
10077,water
10078,ground
10078,fire
10079,dragon
10079,flying
10080,electric
10081,electric
10082,electric
10083,electric
10084,electric
10085,electric
10086,psychic
10086,dark
10087,fire
10087,ground
10088,normal
10088,fighting
10089,dragon
10089,flying
10090,bug
10090,poison
10091,dark
10091,normal
10092,dark
10092,normal
10093,dark
10093,normal
10094,electric
10095,electric
10096,electric
10097,electric
10098,electric
10099,electric
10100,electric
10100,psychic
10101,ice
10101,steel
10102,ice
10102,steel
10103,ice
10104,ice
10104,fairy
10105,ground
10105,steel
10106,ground
10106,steel
10107,dark
10108,dark
10109,rock
10109,electric
10110,rock
10110,electric
10111,rock
10111,electric
10112,poison
10112,dark
10113,poison
10113,dark
10114,grass
10114,dragon
10115,fire
10115,ghost
10116,water
10116,dark
10117,water
10117,dark
10118,dragon
10118,ground
10119,dragon
10119,ground
10120,dragon
10120,ground
10121,normal
10122,bug
10122,electric
10123,electric
10123,flying
10124,psychic
10124,flying
10125,ghost
10125,flying
10126,rock
10127,water
10128,grass
10129,poison
10129,fire
10130,rock
10130,flying
10131,rock
10131,flying
10132,rock
10132,flying
10133,rock
10133,flying
10134,rock
10134,flying
10135,rock
10135,flying
10136,rock
10136,flying
10137,rock
10137,flying
10138,rock
10138,flying
10139,rock
10139,flying
10140,rock
10140,flying
10141,rock
10141,flying
10142,rock
10142,flying
10143,ghost
10143,fairy
10144,ghost
10144,fairy
10145,ghost
10145,fairy
10146,dragon
10146,fighting
10147,steel
10147,fairy
10148,electric
10149,fire
10149,ghost
10150,bug
10150,fairy
10151,rock
10152,rock
10153,water
10153,bug
10154,electric
10154,steel
10155,psychic
10155,steel
10156,psychic
10156,ghost
10157,psychic
10157,dragon
10158,electric
10159,normal
10160,electric
10161,steel
10162,psychic
10163,psychic
10163,fairy
10164,psychic
10165,poison
10165,psychic
10166,fighting
10167,poison
10167,fairy
10168,ice
10168,psychic
10169,psychic
10169,flying
10170,fighting
10170,flying
10171,dark
10171,flying
10172,poison
10172,psychic
10173,ghost
10174,dark
10174,normal
10175,dark
10175,normal
10176,ice
10177,ice
10178,ice
10178,fire
10179,ground
10179,ghost
10180,ground
10180,steel
10181,dragon
10181,ground
10182,flying
10182,water
10183,flying
10183,water
10184,electric
10184,poison
10185,ice
10186,psychic
10186,normal
10187,electric
10187,dark
10188,fairy
10188,steel
10189,fighting
10189,steel
10190,poison
10190,dragon
10191,fighting
10191,water
10192,dark
10192,grass
10193,psychic
10193,ice
10194,psychic
10194,ghost
10195,grass
10195,poison
10196,fire
10196,flying
10197,water
10198,bug
10198,flying
10199,electric
10200,normal
10201,fighting
10202,ghost
10202,poison
10203,water
10204,water
10204,ice
10205,normal
10206,normal
10207,poison
10208,steel
10209,grass
10210,fire
10211,water
10212,flying
10212,steel
10213,bug
10213,psychic
10214,water
10214,rock
10215,rock
10215,fire
10216,grass
10216,dragon
10217,grass
10217,dragon
10218,ground
10219,electric
10219,poison
10220,fire
10220,bug
10221,psychic
10221,fairy
10222,dark
10222,fairy
10223,fairy
10224,steel
10225,steel
10225,dragon
10226,fighting
10226,dark
10227,fighting
10227,water
10228,electric
10228,poison
10229,fire
10229,rock
10230,fire
10230,rock
10231,electric
10231,grass
10232,electric
10232,grass
10233,fire
10233,ghost
10234,dark
10234,poison
10235,fighting
10235,poison
10236,water
10236,dark
10237,grass
10237,fighting
10238,normal
10238,ghost
10239,normal
10239,ghost
10240,psychic
10240,flying
10241,steel
10241,dragon
10242,steel
10242,dragon
10243,ice
10243,rock
10244,grass
10244,fighting
10245,steel
10245,dragon
10246,water
10246,dragon
10247,water
10248,water
10248,ghost
10249,fairy
10249,flying
10250,fighting
10251,fighting
10251,fire
10252,fighting
10252,water
10253,poison
10253,ground
10254,normal
10255,normal
10256,water
10257,normal
10258,dragon
10258,water
10259,dragon
10259,water
10260,normal
10260,flying
10261,normal
10261,flying
10262,normal
10262,flying
10263,ghost
10264,fighting
10264,dragon
10265,fighting
10265,dragon
10266,fighting
10266,dragon
10267,fighting
10267,dragon
10268,electric
10268,dragon
10269,electric
10269,dragon
10270,electric
10270,dragon
10271,electric
10271,dragon
10272,ground
10272,normal
10273,grass
10273,water
10274,grass
10274,fire
10275,grass
10275,rock
10276,normal
10277,normal
